"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0006631";"fatty acid metabolic process";"92/2842";"411/18496";9,23596467260388e-05;0,0468648240762375;"5164/51085/11313/10062/6307/5165/6720/3028/32/65985/10998/23409/1312/6319/7494/80339/26090/57761/10005/79152/23417/10295/1666/10994/2109/1374/5191/28965/1962/5096/2166/55268/35/2181/1907/1892/9518/55902/5468/64900/79746/1573/1545/1558/27163/3033/8816/145482/11001/1543/283927/207/11000/55258/9536/2180/55289/1376/117145/51/246/26027/200539/79993/2171/51084/158584/80221/10999/10449/2879/29785/254552/1632/2948/255189/2194/57834/197322/122970/59344/7054/79777/3638/5407/56624/284486/27010/7923/641372/26063/1548";"PDK2/MLXIPL/LYPLA2/NR1H3/MSMO1/PDK3/SREBF1/HSD17B10/ACACB/AACS/SLC27A5/SIRT4/COMT/SCD/XBP1/PNPLA3/ABHD12/TRIB3/ACOT8/FA2H/MLYCD/BCKDK/DECR1/ILVBL/ETFB/CPT1A/PEX7/SLC27A6/EHHADH/PCCB/FAAH/ECHDC2/ACADS/ACSL3/EDN2/ECHS1/GDF15/ACSS2/PPARG/LPIN3/ECHDC3/CYP2J2/CYP1B1/CYP2C8/NAAA/HADH/DCAF5/PTGR2/SLC27A2/CYP1A1/NUDT7/AKT1/SLC27A3/THNSL2/PTGES/ACSL1/ACOXL/CPT2/THEM4/ACOX1/ALOX15/ACOT11/ANKRD23/ELOVL7/FABP5/CRYL1/FAAH2/ACSF2/SLC27A4/ACAA2/GPX4/CYP2S1/NUDT8/ECI1/GSTM4/PLA2G4F/FASN/CYP4F11/ACSF3/ACOT4/ALOXE3/TH/ACBD4/INSIG1/PNLIPRP1/ASAH2/THEM5/TPK1/HSD17B8/ACOT6/DECR2/CYP2A6";92
"CC";"GO:0043296";"apical junction complex";"45/3039";"155/19528";1,48568263515612e-05;0,00938888982232718;"440193/999/5590/9618/57662/1741/54566/23616/50855/27134/51599/24146/5818/23150/4072/84612/79983/5819/92359/10207/91862/57530/286676/357/286204/90952/143098/288/153562/50848/57125/1365/144100/3728/84552/225689/1366/89958/4810/85302/1364/100506658/317762/9080/83481";"CCDC88C/CDH1/PRKCZ/TRAF4/CAMSAP3/DLG3/EPB41L4B/SH3BP1/PARD6A/TJP3/LSR/CLDN15/NECTIN1/FRMD4B/EPCAM/PARD6B/POF1B/NECTIN2/CRB3/PATJ/MARVELD3/CGN/ILDR1/SHROOM2/CRB2/ESAM/MPP7/ANK3/MARVELD2/F11R/PLXDC1/CLDN3/PLEKHA7/JUP/PARD6G/MAPK15/CLDN7/SAPCD2/NHS/FBF1/CLDN4/OCLN/CCDC85C/CLDN9/EPPK1";45
"CC";"GO:0098839";"postsynaptic density membrane";"38/3039";"126/19528";2,63143553394462e-05;0,00938888982232718;"4756/27092/1741/57549/4897/5802/2906/1949/41/10846/116444/2043/9194/57622/94030/5025/58489/59283/4851/1740/57512/7074/2905/2899/145581/112476/1128/54910/146395/81831/2902/2066/23513/2894/11122/23237/392617/729993";"NEO1/CACNG4/DLG3/IGSF9/NRCAM/PTPRS/GRIN2D/EFNB3/ASIC1/PDE10A/GRIN3B/EPHA4/SLC16A7/LRFN1/LRRC4B/P2RX4/ABHD17C/CACNG8/NOTCH1/DLG2/GPR158/TIAM1/GRIN2C/GRIK3/LRFN5/PRRT2/CHRM1/SEMA4C/GSG1L/NETO2/GRIN1/ERBB4/SCRIB/GRID1/PTPRT/ARC/ELFN1/SHISA9";38
"CC";"GO:1902495";"transmembrane transporter complex";"110/3039";"496/19528";5,29182588345029e-05;0,00938888982232718;"6329/9254/3755/57101/3784/3757/29850/3785/27092/1741/4708/2568/9424/57828/513/610/8911/26090/778/3750/93145/2906/50617/20/4717/79073/4728/6337/1337/523/116444/9132/1143/845/5524/2185/60598/3306/3746/54795/1327/1349/3748/23416/3775/1144/1329/84317/10021/4716/94015/59283/8001/54539/4715/1740/9556/776/55799/9114/2905/3754/6280/2899/8645/783/784/4723/6338/9022/80131/170850/140738/3752/254263/1351/2902/26251/1537/57463/2567/2894/91689/4707/6331/29796/90134/4700/246329/3767/2563/51463/1364/6261/487/8912/1146/11194/1259/4541/4513/4519/4512/4537/4538/4508/4514/440829/729993/84876";"SCN4A/CACNA2D2/KCNG1/ANO2/KCNQ1/KCNH2/TRPM5/KCNQ2/CACNG4/DLG3/NDUFB2/GABRP/KCNK6/CATSPERG/ATP5F1D/HCN2/CACNA1I/ABHD12/CACNA1F/KCND1/OLFM2/GRIN2D/ATP6V0A4/ABCA2/NDUFC1/TMEM109/NDUFS8/SCNN1A/COX6A1/ATP6V1A/GRIN3B/KCNQ4/CHRNB4/CASQ2/PTPA/PTK2B/KCNK15/HSPA2/KCNC1/TRPM4/COX4I1/COX7B/KCNC3/KCNH3/KCNK1/CHRND/COX5B/CCDC115/HCN4/NDUFB10/TTYH2/CACNG8/GLRA3/NDUFB11/NDUFB9/DLG2/ATP5MPL/CACNA1D/CACNA2D3/ATP6V0D1/GRIN2C/KCNF1/S100A9/GRIK3/KCNK5/CACNB2/CACNB3/NDUFV1/SCNN1B/CLIC3/LRRC8E/KCNG3/TMEM37/KCND3/CNIH2/COX8A/GRIN1/KCNG2/CYC1/AMIGO1/GABRG3/GRID1/SMDT1/NDUFB1/SCN5A/UQCR10/KCNH7/NDUFA6/STAC3/KCNJ11/GABRD/GPR89B/CLDN4/RYR1/ATP2A1/CACNA1H/CHRNG/ABCB8/CNGA1/ND6/COX2/CYTB/COX1/ND3/ND4/ATP6/COX3/SHISA8/SHISA9/ORAI1";110
"CC";"GO:0031253";"cell projection membrane";"84/3039";"359/19528";5,78991549426051e-05;0,00938888982232718;"1800/286/26751/23035/23224/5662/10235/54825/2683/23428/10044/5064/65009/8140/9780/6810/50617/23288/81704/9368/6506/4891/59341/6337/90249/57669/9429/140803/27241/57468/5335/29993/583/23550/83543/3746/9026/54869/3748/92154/57111/6553/3775/8884/2064/84958/84249/57393/6188/6094/150696/7074/117145/1636/5152/22941/9249/134/6286/10999/255189/9283/5174/374403/4642/64787/23526/80045/2567/221178/54014/4137/3767/8326/4646/7442/6584/5336/1259/142680/79583/440829/729993/85358";"DPEP1/ANK1/SH3YL1/PHLPP2/SYNE2/PSD/RASGRP2/CDHR2/B4GALT1/SLC7A8/SH2D3C/PALM/NDRG4/SLC7A5/PIEZO1/STX4/ATP6V0A4/IQCE/DOCK8/SLC9A3R1/SLC1A2/SLC11A2/TRPV4/SCNN1A/UNC5A/EPB41L5/ABCG2/TRPM6/BBS9/SLC12A5/PLCG1/PACSIN1/BBS2/PSD4/AIF1L/KCNC1/HIP1R/EPS8L1/KCNC3/MTSS1L/RAB25/SLC9A5/KCNK1/SLC5A6/ERBB2/SYTL1/PSD2/CLTRN/RPS3/ROM1/PROM2/TIAM1/THEM4/ACE/PDE9A/SHANK2/DHRS3/ADORA1/S100P/SLC27A4/PLA2G4F/GPR37L1/PDZK1/TBC1D10C/MYO1D/EPS8L2/ARHGAP45/GPR157/GABRG3/SPATA13/BRWD1/MAPT/KCNJ11/FZD9/MYO6/TRPV1/SLC22A5/PLCG2/CNGA1/SLC34A3/TMEM231/SHISA8/SHISA9/SHANK3";84
"CC";"GO:0098984";"neuron to neuron synapse";"94/3039";"414/19528";7,29000473263036e-05;0,00938888982232718;"9912/23542/9066/54477/816/5662/4756/5590/79641/84708/27092/1741/57549/4897/5064/9463/4923/7249/29904/9455/5802/2906/1949/5818/41/10846/7781/116444/2043/58512/9194/2185/5582/57622/9026/94030/116988/5025/58489/59283/9922/114569/4851/6188/1740/57512/7074/8997/23623/6132/2905/50944/160622/22941/93185/134/2899/8927/2171/145581/112476/1128/54910/146395/1501/143425/81831/91683/254263/2902/2066/23513/575/2894/8224/27445/613/5575/11122/54413/1612/5094/8831/26037/6136/23237/388135/392862/392617/6222/440829/729993/85358/80725";"ARHGAP44/MAPK8IP2/SYT7/PLEKHA5/CAMK2B/PSD/NEO1/PRKCZ/ROGDI/LNX1/CACNG4/DLG3/IGSF9/NRCAM/PALM/PICK1/NTSR1/TSC2/EEF2K/HOMER2/PTPRS/GRIN2D/EFNB3/NECTIN1/ASIC1/PDE10A/SLC30A3/GRIN3B/EPHA4/DLGAP3/SLC16A7/PTK2B/PRKCG/LRFN1/HIP1R/LRRC4B/AGAP3/P2RX4/ABHD17C/CACNG8/IQSEC1/MAL2/NOTCH1/RPS3/DLG2/GPR158/TIAM1/KALRN/RUSC1/RPL8/GRIN2C/SHANK1/GRASP/SHANK2/IGSF8/ADORA1/GRIK3/BSN/FABP5/LRFN5/PRRT2/CHRM1/SEMA4C/GSG1L/CTNND2/SYT9/NETO2/SYT12/CNIH2/GRIN1/ERBB4/SCRIB/ADGRB1/GRID1/SYN3/PCLO/BCR/PRKAR1B/PTPRT/NLGN3/DAPK1/PCBP2/SYNGAP1/SIPA1L1/RPL12/ARC/C15orf59/GRID2IP/ELFN1/RPS18/SHISA8/SHISA9/SHANK3/SRCIN1";94
"CC";"GO:0005912";"adherens junction";"50/3039";"189/19528";7,75941307630345e-05;0,00938888982232718;"55971/999/1001/3993/57662/5317/1741/1832/421/23616/9124/5818/3875/59341/23150/57669/2043/11155/60437/79983/5819/10298/1824/5962/64403/81607/83872/1016/357/4851/90952/143098/1740/5239/340348/57731/8613/6282/144100/29091/1501/5499/27289/3728/23513/29119/11187/55966/28514/317762";"BAIAP2L1/CDH1/CDH3/LLGL2/CAMSAP3/PKP1/DLG3/DSP/ARVCF/SH3BP1/PDLIM1/NECTIN1/KRT18/TRPV4/FRMD4B/EPB41L5/EPHA4/LDB3/CDH26/POF1B/NECTIN2/PAK4/DSC2/RDX/CDH24/NECTIN4/HMCN1/CDH18/SHROOM2/NOTCH1/ESAM/MPP7/DLG2/PGM5/TSPAN33/SPTBN4/PLPP3/S100A11/PLEKHA7/STXBP6/CTNND2/PPP1CA/RND1/JUP/SCRIB/CTNNA3/PKP3/AJAP1/DLL1/CCDC85C";50
"CC";"GO:0099634";"postsynaptic specialization membrane";"42/3039";"156/19528";0,000184586775246203;0,0179556696952921;"4756/27092/1741/57549/4897/5802/2906/1949/41/10846/116444/2043/1143/9194/57468/57622/94030/5025/1144/58489/59283/4851/1740/57512/7074/2905/2899/145581/112476/1128/54910/146395/81831/3752/2902/2066/23513/2894/11122/23237/392617/729993";"NEO1/CACNG4/DLG3/IGSF9/NRCAM/PTPRS/GRIN2D/EFNB3/ASIC1/PDE10A/GRIN3B/EPHA4/CHRNB4/SLC16A7/SLC12A5/LRFN1/LRRC4B/P2RX4/CHRND/ABHD17C/CACNG8/NOTCH1/DLG2/GPR158/TIAM1/GRIN2C/GRIK3/LRFN5/PRRT2/CHRM1/SEMA4C/GSG1L/NETO2/KCND3/GRIN1/ERBB4/SCRIB/GRID1/PTPRT/ARC/ELFN1/SHISA9";42
"CC";"GO:0097060";"synaptic membrane";"99/3039";"452/19528";0,000197858619231869;0,0179556696952921;"9254/9066/286/9170/9627/4756/56850/22859/4185/27092/5663/1741/57549/1947/4897/112755/5064/9463/140730/3750/5802/2906/1949/5818/6506/41/10846/116444/2043/9783/51107/1143/9194/57468/5582/57622/3746/23025/9026/3748/94030/4814/5025/6553/3775/1144/5100/58489/9568/2064/59283/8001/4851/1740/57512/288/4685/7074/55799/2905/50944/160622/22941/6512/93185/134/2899/5364/145581/112476/1128/54910/146395/81831/3752/254263/9699/2902/2066/1132/23513/2567/2894/8508/3767/26059/2563/10507/11122/54413/7442/1146/23237/57692/392862/392617/440829/729993/85358";"CACNA2D2/SYT7/ANK1/LPAR2/SNCAIP/NEO1/GRIPAP1/ADGRL1/ADAM11/CACNG4/PSEN1/DLG3/IGSF9/EFNB1/NRCAM/STX1B/PALM/PICK1/RIMS4/KCND1/PTPRS/GRIN2D/EFNB3/NECTIN1/SLC1A2/ASIC1/PDE10A/GRIN3B/EPHA4/RIMS3/APH1A/CHRNB4/SLC16A7/SLC12A5/PRKCG/LRFN1/KCNC1/UNC13A/HIP1R/KCNC3/LRRC4B/NINJ1/P2RX4/SLC9A5/KCNK1/CHRND/PCDH8/ABHD17C/GABBR2/ERBB2/CACNG8/GLRA3/NOTCH1/DLG2/GPR158/ANK3/NCAM2/TIAM1/CACNA2D3/GRIN2C/SHANK1/GRASP/SHANK2/SLC1A7/IGSF8/ADORA1/GRIK3/PLXNB1/LRFN5/PRRT2/CHRM1/SEMA4C/GSG1L/NETO2/KCND3/CNIH2/RIMS2/GRIN1/ERBB4/CHRM4/SCRIB/GABRG3/GRID1/NIPSNAP1/KCNJ11/ERC2/GABRD/SEMA4D/PTPRT/NLGN3/TRPV1/CHRNG/ARC/MAGEE1/GRID2IP/ELFN1/SHISA8/SHISA9/SHANK3";99
"CC";"GO:0005923";"bicellular tight junction";"36/3039";"129/19528";0,00024207176125196;0,0195271220743248;"5590/9618/1741/54566/23616/50855/27134/51599/24146/23150/4072/84612/79983/92359/10207/91862/57530/286676/357/90952/143098/288/153562/50848/57125/1365/84552/225689/1366/89958/4810/1364/100506658/317762/9080/83481";"PRKCZ/TRAF4/DLG3/EPB41L4B/SH3BP1/PARD6A/TJP3/LSR/CLDN15/FRMD4B/EPCAM/PARD6B/POF1B/CRB3/PATJ/MARVELD3/CGN/ILDR1/SHROOM2/ESAM/MPP7/ANK3/MARVELD2/F11R/PLXDC1/CLDN3/PARD6G/MAPK15/CLDN7/SAPCD2/NHS/CLDN4/OCLN/CCDC85C/CLDN9/EPPK1";36
