"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000222693";"ENSP00000369689";"ENSG00000105971";"ENSG00000178372";936
"ENSP00000398632";"ENSP00000472929";"ENSG00000026508";"ENSG00000141968";934
"ENSP00000264867";"ENSP00000287878";"ENSG00000109819";"ENSG00000106617";933
"ENSP00000342278";"ENSP00000356530";"ENSG00000111335";"ENSG00000135828";933
"ENSP00000222573";"ENSP00000283249";"ENSG00000105855";"ENSG00000115221";932
"ENSP00000286827";"ENSP00000383053";"ENSG00000156299";"ENSG00000133216";932
"ENSP00000201031";"ENSP00000501092";"ENSG00000087510";"ENSG00000137203";931
"ENSP00000357112";"ENSP00000357113";"ENSG00000163568";"ENSG00000163565";929
"ENSP00000364979";"ENSP00000398632";"ENSG00000187498";"ENSG00000026508";928
"ENSP00000353654";"ENSP00000398632";"ENSG00000134871";"ENSG00000026508";925
"ENSP00000375778";"ENSP00000398632";"ENSG00000196878";"ENSG00000026508";924
"ENSP00000307292";"ENSP00000339191";"ENSG00000170955";"ENSG00000105974";922
"ENSP00000357113";"ENSP00000359339";"ENSG00000163565";"ENSG00000164430";921
"ENSP00000262958";"ENSP00000450482";"ENSG00000060558";"ENSG00000168398";921
"ENSP00000315190";"ENSP00000324532";"ENSG00000005884";"ENSG00000053747";919
"ENSP00000359783";"ENSP00000377344";"ENSG00000137965";"ENSG00000137628";919
"ENSP00000316329";"ENSP00000419503";"ENSG00000145284";"ENSG00000188921";917
"ENSP00000249071";"ENSP00000423602";"ENSG00000128340";"ENSG00000070190";917
"ENSP00000281821";"ENSP00000383053";"ENSG00000116106";"ENSG00000133216";915
"ENSP00000264350";"ENSP00000359783";"ENSG00000138646";"ENSG00000137965";914
"ENSP00000326247";"ENSP00000359783";"ENSG00000177409";"ENSG00000137965";914
"ENSP00000360021";"ENSP00000450482";"ENSG00000172380";"ENSG00000168398";914
"ENSP00000328777";"ENSP00000332118";"ENSG00000184349";"ENSG00000182580";913
"ENSP00000221496";"ENSP00000328181";"ENSG00000104899";"ENSG00000183691";912
"ENSP00000323071";"ENSP00000357807";"ENSG00000177465";"ENSG00000196407";912
"ENSP00000229708";"ENSP00000356320";"ENSG00000111981";"ENSG00000131015";911
"ENSP00000351908";"ENSP00000500582";"ENSG00000197442";"ENSG00000117020";911
"ENSP00000265131";"ENSP00000283249";"ENSG00000041982";"ENSG00000115221";910
"ENSP00000360493";"ENSP00000361664";"ENSG00000124813";"ENSG00000127124";909
"ENSP00000262843";"ENSP00000414521";"ENSG00000080561";"ENSG00000101871";909
"ENSP00000249071";"ENSP00000425394";"ENSG00000128340";"ENSG00000173210";908
"ENSP00000368632";"ENSP00000376436";"ENSG00000107485";"ENSG00000134954";907
"ENSP00000342278";"ENSP00000377344";"ENSG00000111335";"ENSG00000137628";907
"ENSP00000302177";"ENSP00000324944";"ENSG00000143797";"ENSG00000172197";904
"ENSP00000264428";"ENSP00000490940";"ENSG00000109738";"ENSG00000131089";904
"ENSP00000264350";"ENSP00000342278";"ENSG00000138646";"ENSG00000111335";902
"ENSP00000277225";"ENSP00000358207";"ENSG00000148143";"ENSG00000148704";902
"ENSP00000377344";"ENSP00000490935";"ENSG00000137628";"ENSG00000119922";899
"ENSP00000239165";"ENSP00000405890";"ENSG00000260027";"ENSG00000185630";897
"ENSP00000263946";"ENSP00000353608";"ENSG00000081277";"ENSG00000134762";894
"ENSP00000353475";"ENSP00000398632";"ENSG00000181885";"ENSG00000026508";894
"ENSP00000369292";"ENSP00000377344";"ENSG00000205413";"ENSG00000137628";893
"ENSP00000405738";"ENSP00000495564";"ENSG00000104413";"ENSG00000083307";891
"ENSP00000308610";"ENSP00000329697";"ENSG00000115159";"ENSG00000141934";890
"ENSP00000263645";"ENSP00000275493";"ENSG00000110651";"ENSG00000146648";886
"ENSP00000252242";"ENSP00000275493";"ENSG00000186081";"ENSG00000146648";885
"ENSP00000301653";"ENSP00000308452";"ENSG00000186832";"ENSG00000128422";880
"ENSP00000275493";"ENSP00000378058";"ENSG00000146648";"ENSG00000115380";877
"ENSP00000275493";"ENSP00000417498";"ENSG00000146648";"ENSG00000145113";875
"ENSP00000263341";"ENSP00000357112";"ENSG00000125538";"ENSG00000163568";874
"ENSP00000264350";"ENSP00000377344";"ENSG00000138646";"ENSG00000137628";874
"ENSP00000378199";"ENSP00000378324";"ENSG00000126803";"ENSG00000140403";874
"ENSP00000275493";"ENSP00000472929";"ENSG00000146648";"ENSG00000141968";874
"ENSP00000263341";"ENSP00000275493";"ENSG00000125538";"ENSG00000146648";873
"ENSP00000302177";"ENSP00000329697";"ENSG00000143797";"ENSG00000141934";873
"ENSP00000265431";"ENSP00000350928";"ENSG00000104327";"ENSG00000128683";873
"ENSP00000326247";"ENSP00000377344";"ENSG00000177409";"ENSG00000137628";872
"ENSP00000286827";"ENSP00000472929";"ENSG00000156299";"ENSG00000141968";872
"ENSP00000263341";"ENSP00000296795";"ENSG00000125538";"ENSG00000164342";871
"ENSP00000239165";"ENSP00000399808";"ENSG00000260027";"ENSG00000198353";871
"ENSP00000315190";"ENSP00000364979";"ENSG00000005884";"ENSG00000187498";870
"ENSP00000275493";"ENSP00000370989";"ENSG00000146648";"ENSG00000120217";870
"ENSP00000252242";"ENSP00000308452";"ENSG00000186081";"ENSG00000128422";866
"ENSP00000283249";"ENSP00000375778";"ENSG00000115221";"ENSG00000196878";865
"ENSP00000381008";"ENSP00000414350";"ENSG00000181143";"ENSG00000176945";865
"ENSP00000315190";"ENSP00000375778";"ENSG00000005884";"ENSG00000196878";864
"ENSP00000258411";"ENSP00000323901";"ENSG00000135925";"ENSG00000180340";863
"ENSP00000258411";"ENSP00000355245";"ENSG00000135925";"ENSG00000198807";862
"ENSP00000337383";"ENSP00000357113";"ENSG00000162711";"ENSG00000163565";862
"ENSP00000359783";"ENSP00000369292";"ENSG00000137965";"ENSG00000205413";862
"ENSP00000363804";"ENSP00000405890";"ENSG00000136826";"ENSG00000185630";862
"ENSP00000252242";"ENSP00000301653";"ENSG00000186081";"ENSG00000186832";861
"ENSP00000283249";"ENSP00000355896";"ENSG00000115221";"ENSG00000092969";861
"ENSP00000263341";"ENSP00000460475";"ENSG00000125538";"ENSG00000091592";861
"ENSP00000305988";"ENSP00000398632";"ENSG00000170017";"ENSG00000026508";859
"ENSP00000201031";"ENSP00000368632";"ENSG00000087510";"ENSG00000107485";858
"ENSP00000232564";"ENSP00000302846";"ENSG00000114450";"ENSG00000171522";854
